,0,1
1,-1.0,0.000179
2,-0.49999999999999994,8.4e-05
3,-0.09763107293781748,8.7e-05
4,0.02244755338790938,0.000141
5,0.06104172584493761,0.000259
6,0.21035816082614947,0.000537
7,0.3094483225829058,0.00106
8,0.3693105857133682,0.00251
9,0.38886774156988807,0.00402
10,0.3789784778872586,0.0172
11,0.4326423649299213,0.0199
12,0.47419939360919283,0.0372
13,0.5029312664922283,0.0663
14,0.5190224784556354,0.125
15,0.5392267335158978,0.245
16,0.5439534133630893,0.508
17,0.5240977925880047,1.07
18,0.5275612743342892,2.27
19,0.5419132277110322,4.86
20,0.5591664147757932,14.9
21,0.5794152269564543,41.4
22,0.5969415901539915,83.0
23,0.61106656363946,174.0
24,0.620062871151,225.0
25,0.620261512878786,397.0
